Number of Gene with a close MF GOSlim;59
Number of Gene with a close BP GOSlim;139
Number of Gene with a close CC GOSlim;44
Compute Number Gene :;242


GOSlim;Ontology;count of gene
GO:0009451;biological_process;1
GO:0008299;biological_process;1
GO:0043207;biological_process;7
GO:0044281;biological_process;6
GO:0048523;biological_process;1
GO:0016409;molecular_function;1
GO:0042723;biological_process;1
GO:0032787;biological_process;2
GO:0006351;biological_process;12
GO:0009312;biological_process;1
GO:0051187;biological_process;1
GO:0016491;molecular_function;5
GO:0051253;biological_process;1
GO:0016070;biological_process;16
GO:0019725;biological_process;2
GO:0005515;molecular_function;11
GO:0042180;biological_process;1
GO:0005975;biological_process;18
GO:0045892;biological_process;1
GO:0045934;biological_process;1
GO:0044270;biological_process;1
GO:0044459;cellular_component;1
GO:0070011;molecular_function;1
GO:0009894;biological_process;1
GO:0016668;molecular_function;1
GO:0016123;biological_process;1
GO:0051649;biological_process;7
GO:0019825;molecular_function;2
GO:0046739;biological_process;1
GO:0016773;molecular_function;4
GO:0032549;molecular_function;5
GO:0000375;biological_process;1
GO:0043168;molecular_function;5
GO:0007165;biological_process;1
GO:0042398;biological_process;1
GO:0006810;biological_process;12
GO:0006520;biological_process;1
GO:0016109;biological_process;1
GO:0045229;biological_process;4
GO:0004791;molecular_function;1
GO:0015031;biological_process;6
GO:0046914;molecular_function;3
GO:0043231;cellular_component;21
GO:0009415;biological_process;2
GO:0006760;biological_process;1
GO:0048869;biological_process;6
GO:0016197;biological_process;1
GO:0006928;biological_process;4
GO:0043603;biological_process;1
GO:0010033;biological_process;5
GO:0019752;biological_process;3
GO:0005215;molecular_function;1
GO:0015996;biological_process;1
GO:0010035;biological_process;3
GO:0051704;biological_process;8
GO:0065003;biological_process;2
GO:0044267;biological_process;7
GO:0016757;molecular_function;2
GO:0016462;molecular_function;5
GO:0001101;biological_process;6
GO:0051171;biological_process;12
GO:0006302;biological_process;1
GO:0006787;biological_process;1
GO:0044264;biological_process;15
GO:0017038;biological_process;1
GO:0016054;biological_process;1
GO:0051603;biological_process;3
GO:0044437;cellular_component;2
GO:0016053;biological_process;1
GO:0016817;molecular_function;5
GO:0044257;biological_process;3
GO:0016651;molecular_function;1
GO:0004672;molecular_function;4
GO:0006790;biological_process;1
GO:0009890;biological_process;1
GO:0000038;biological_process;1
GO:0006886;biological_process;6
GO:0050662;molecular_function;3
GO:0003924;molecular_function;3
GO:0018193;biological_process;2
GO:0006732;biological_process;1
GO:0022604;biological_process;2
GO:0009056;biological_process;5
GO:0030243;biological_process;14
GO:0000724;biological_process;1
GO:0043167;molecular_function;8
GO:0006721;biological_process;1
GO:0016071;biological_process;1
GO:0007017;biological_process;4
GO:0051128;biological_process;2
GO:0030554;molecular_function;5
GO:0019897;cellular_component;1
GO:0071229;biological_process;1
GO:0044464;cellular_component;36
GO:0005575;cellular_component;44
GO:0033554;biological_process;1
GO:0043232;cellular_component;2
GO:0006952;biological_process;10
GO:0031224;cellular_component;2
GO:0043169;molecular_function;3
GO:0031975;cellular_component;1
GO:0009892;biological_process;3
GO:0002376;biological_process;2
GO:0006355;biological_process;12
GO:0019438;biological_process;13
GO:0006996;biological_process;6
GO:0055080;biological_process;1
GO:0006811;biological_process;3
GO:0048856;biological_process;24
GO:0042440;biological_process;2
GO:0022603;biological_process;2
GO:0043933;biological_process;5
GO:0032989;biological_process;4
GO:0016667;molecular_function;1
GO:0016301;molecular_function;7
GO:0031325;biological_process;2
GO:0016840;molecular_function;1
GO:0016887;molecular_function;1
GO:0008233;molecular_function;1
GO:0005634;cellular_component;9
GO:0051716;biological_process;3
GO:0005737;cellular_component;19
GO:0098754;biological_process;1
GO:0008283;biological_process;1
GO:0051274;biological_process;14
GO:0016408;molecular_function;1
GO:0044435;cellular_component;1
GO:0006139;biological_process;18
GO:0009987;biological_process;87
GO:0000228;cellular_component;1
GO:0016903;molecular_function;2
GO:0032555;molecular_function;5
GO:0052192;biological_process;1
GO:0009719;biological_process;2
GO:0006767;biological_process;1
GO:0042742;biological_process;6
GO:0046149;biological_process;1
GO:0009812;biological_process;1
GO:0009653;biological_process;8
GO:0003676;molecular_function;5
GO:0009411;biological_process;1
GO:0044403;biological_process;1
GO:0015630;cellular_component;1
GO:0019222;biological_process;17
GO:0010556;biological_process;12
GO:0003916;molecular_function;1
GO:0065008;biological_process;2
GO:0046320;biological_process;1
GO:0046983;molecular_function;2
GO:0043436;biological_process;3
GO:0048519;biological_process;9
GO:0044255;biological_process;3
GO:0001071;molecular_function;3
GO:0031988;cellular_component;1
GO:0044424;cellular_component;29
GO:0005768;cellular_component;1
GO:0060255;biological_process;14
GO:0006796;biological_process;7
GO:0009058;biological_process;32
GO:0016051;biological_process;17
GO:0006766;biological_process;1
GO:0008380;biological_process;2
GO:0043234;cellular_component;2
GO:0055082;biological_process;1
GO:0009059;biological_process;26
GO:0044265;biological_process;3
GO:0003918;molecular_function;1
GO:0010468;biological_process;14
GO:0006725;biological_process;21
GO:0009636;biological_process;1
GO:0000902;biological_process;2
GO:0051701;biological_process;1
GO:0046394;biological_process;1
GO:0006461;biological_process;2
GO:0015979;biological_process;1
GO:0044446;cellular_component;6
GO:0031967;cellular_component;1
GO:0008134;molecular_function;1
GO:0019216;biological_process;1
GO:0007010;biological_process;3
GO:0008234;molecular_function;1
GO:0015994;biological_process;1
GO:0018130;biological_process;13
GO:0003674;molecular_function;59
GO:0012505;cellular_component;3
GO:0005739;cellular_component;2
GO:0006820;biological_process;2
GO:0032502;biological_process;28
GO:0006094;biological_process;2
GO:0051814;biological_process;1
GO:0005829;cellular_component;5
GO:0009055;molecular_function;1
GO:0009891;biological_process;2
GO:0009108;biological_process;1
GO:0048585;biological_process;6
GO:0051234;biological_process;12
GO:0051707;biological_process;7
GO:0048468;biological_process;2
GO:0010109;biological_process;1
GO:0016116;biological_process;1
GO:0015698;biological_process;2
GO:0032550;molecular_function;5
GO:0051179;biological_process;12
GO:0008610;biological_process;1
GO:0042127;biological_process;1
GO:0030154;biological_process;4
GO:0042592;biological_process;2
GO:0016122;biological_process;1
GO:0043623;biological_process;2
